Juzgado de Primera Instancia e Instrucción nº 1 ,Rúa de Lugo  45-47 ,15810 ,Arzúa ,A Coruña ,Galicia ,881 99 60 03  881 99 60 04 ,881 99 60 07 ,mixto1.arzua@xustiza.gal ,RODRIGUEZ CARLIN  MARIA EUGENIA
Juzgado de Primera Instancia nº 5 ,Rúa Monforte  s/n. Edif. Novos Xulgados ,15007 ,Coruña (A) ,A Coruña ,Galicia ,981 18 51 95  981 18 51 97 ,981 18 51 96 ,instancia5.coruna@xustiza.gal ,MARTINEZ VAZQUEZ  JORGE
Juzgado de Primera Instancia nº 6 ,Rúa Monforte  s/n. Edif. Novos Xulgados ,15007 ,Coruña (A) ,A Coruña ,Galicia ,981 18 52 05  981 18 52 06 ,981 18 52 07 ,instancia6.coruna@xustiza.gal ,ALVAREZ GOMEZ  DOSINDA
Juzgado de Primera Instancia nº 7 ,Rúa Monforte  s/n. Edif. Novos Xulgados ,15007 ,Coruña (A) ,A Coruña ,Galicia ,981 18 52 15  981 18 52 16 ,981 18 52 17 ,instancia7.coruna@xustiza.gal ,RODRIGUEZ SANCHEZ  YOLANDA
Juzgado de Primera Instancia nº 8 ,Rúa Monforte  s/n. Edif. Novos Xulgados ,15007 ,Coruña (A) ,A Coruña ,Galicia ,981 18 52 74  981 18 52 75 ,981 18 52 76 ,instancia8.coruna@xustiza.gal ,FRAGA MANDIAN  ANTONIO
Juzgado de Primera Instancia nº 9 ,Rúa Monforte  s/n. Edif. Novos Xulgados ,15007 ,Coruña (A) ,A Coruña ,Galicia ,981 18 52 59  981 18 52 69 ,981 18 52 59 ,instancia9.coruna@xustiza.gal ,RODRIGUEZ VIDAL  LUIS JAVIER
Juzgado de Primera Instancia nº 10 ,Rúa Capitán Juan Varela  s/n ,15007 ,Coruña (A) ,A Coruña ,Galicia ,981 18 21 94  981 18 21 95 ,981 18 21 87 ,instancia10.coruna@xustiza.gal ,FERREIROS PEREZ  BALBINO
Juzgado de Primera Instancia nº 11 ,Rúa Capitán Juan Varela  s/n ,15007 ,Coruña (A) ,A Coruña ,Galicia ,981 18 25 98  981 18 25 97 ,981 18 25 99 ,instancia11.coruna@xustiza.gal ,BARRAL PICADO  ANA MARIA
Juzgado de Primera Instancia nº 12 ,Rúa Capitán Juan Varela  s/n ,15007 ,Coruña (A) ,A Coruña ,Galicia ,881 88 11 39  881 88 11 38 ,881 88 11 40 ,instancia12.coruna@xustiza.gal ,PEREZ MASIDE  JOSE MANUEL
Juzgado de Primera Instancia nº 13 ,Rúa Capitán Juan Varela  s/n ,15007 ,Coruña (A) ,A Coruña ,Galicia ,881 88 11 73  881 88 11 74 ,881 88 11 75 ,instancia13.coruna@xustiza.gal ,SUAREZ GARCIA  MARIA ISABEL
Juzgado de Primera Instancia nº 14 ,Rúa Capitán Juan Varela  s/n ,15007 ,Coruña (A) ,A Coruña ,Galicia ,881 88 17 96  881 88 17 97 ,881 88 17 98 ,instancia14.coruna@xustiza.gal , 
Juzgado de Primera Instancia nº 15 ,Rúa Capitán Juan Varela  s/n ,15007 ,Coruña (A) ,A Coruña ,Galicia ,981 18 56 09  981 18 56 06 ,981 18 56 10 ,instancia15.coruna@xustiza.gal , 
Juzgado de Instrucción nº 1 ,Rúa Monforte  1. Edif. Novos Xulgados ,15007 ,Coruña (A) ,A Coruña ,Galicia ,981 18 52 25  981 18 52 27 ,981 18 52 26 ,instrucion1.coruna@xustiza.gal ,DOMINGUEZ PERNAS  NATALIA PAZ
Juzgado de Instrucción nº 2 ,Rúa Monforte  1. Edif. Novos Xulgados ,15007 ,Coruña (A) ,A Coruña ,Galicia ,981 18 52 35  981 18 52 36 ,981 18 52 37 ,instrucion2.coruna@xustiza.gal ,CARAMES MILLAN  CARMEN DE JESUS
Juzgado de Instrucción nº 3 ,Rúa Monforte  1. Edif. Novos Xulgados ,15007 ,Coruña (A) ,A Coruña ,Galicia ,981 18 52 45  981 18 52 47 ,981 18 52 46 ,instrucion3.coruna@xustiza.gal ,RON CAMBON  MARGARITA DE
Juzgado de Instrucción nº 4 ,Rúa Monforte  1. Edif. Novos Xulgados ,15007 ,Coruña (A) ,A Coruña ,Galicia ,981 18 52 55  981 18 52 56 ,981 18 52 57 ,instrucion4.coruna@xustiza.gal ,PARDO DOMINGUEZ  VICTOR MANUEL
Juzgado de Instrucción nº 5 ,Rúa Monforte  1. Edif. Novos Xulgados ,15007 ,Coruña (A) ,A Coruña ,Galicia ,981 18 52 66  981 18 52 65 ,981 18 52 67 ,instrucion5.coruna@xustiza.gal ,GARCIA SUAREZ  PABLO JOSE
Juzgado de Instrucción nº 6 ,Rúa Monforte  1. Edif. Novos Xulgados ,15007 ,Coruña (A) ,A Coruña ,Galicia ,981 18 51 18  981 18 51 38 ,981 18 51 28 ,instrucion6.coruna@xustiza.gal ,GARCIA GARCIA  MARIA JESUS
Juzgado de Instrucción nº 7 ,Rúa Monforte  1. Edif. Novos Xulgados ,15007 ,Coruña (A) ,A Coruña ,Galicia ,881 88 11 19  881 88 11 20 ,881 88 11 21 ,instrucion7.coruna@xustiza.gal ,CAAVEIRO AMENEIRO  PURA
Juzgado de Instrucción nº 8 ,Rúa Monforte  1. Edif. Novos Xulgados ,15007 ,Coruña (A) ,A Coruña ,Galicia ,881 88 16 62  881 88 16 63 ,881 88 16 64 ,instrucion8.coruna@xustiza.gal ,JUSTO VICENTE  MARIA FRANCISCA
Juzgado de lo Social nº 1 ,Rúa Monforte  1. Edif. Novos Xulgados ,15007 ,Coruña (A) ,A Coruña ,Galicia ,981 18 51 15  981 18 51 17 ,981 18 52 11 ,social1.coruna@xustiza.gal ,FUENTE SEOANE  LUCIA DE LA
Juzgado de lo Social nº 2 ,Rúa Monforte  1. Edif. Novos Xulgados ,15007 ,Coruña (A) ,A Coruña ,Galicia ,981 18 51 26  981 18 51 27 ,981 18 51 25 ,social2.coruna@xustiza.gal ,HERRERO LIAÑO  MIGUEL
Juzgado de lo Social nº 3 ,Rúa Monforte  1. Edif. Novos Xulgados ,15007 ,Coruña (A) ,A Coruña ,Galicia ,981 18 51 36  981 18 51 37 ,981 18 51 35 ,social3.coruna@xustiza.gal ,VILLARINO MOURE  SUSANA
Juzgado de lo Social nº 4 ,Rúa Monforte  1. Edif. Novos Xulgados ,15007 ,Coruña (A) ,A Coruña ,Galicia ,981 18 51 45  981 18 51 46 ,981 18 51 47 ,social4.coruna@xustiza.gal ,PITA LLOVERES  NICOLAS EMILIO
Juzgado de lo Social nº 5 ,Rúa Monforte  1. Edif. Novos Xulgados ,15007 ,Coruña (A) ,A Coruña ,Galicia ,881 88 11 63  881 88 11 64 ,881 88 11 65 ,social5.coruna@xustiza.gal ,CARREIRA VIDAL  PILAR
Juzgado de lo Social nº 6 ,Rúa Monforte  1. Edif. Novos Xulgados ,15007 ,Coruña (A) ,A Coruña ,Galicia ,881 88 17 83 ,881 88 17 86 ,social6.coruna@xustiza.gal ,LOPEZ ARRANZ  PATRICIA
Juzgado de lo Social nº 7 ,Rúa Capitán Juan Varela  s/n ,15007 ,Coruña (A) ,A Coruña ,Galicia ,881 88 19 74  881 88 19 75 ,Rúa Capitán Juan Varela  s/n ,social7.coruna@xustiza.gal ,GISMERA CATALINAS  MARIA PILAR
Juzgado de lo Contencioso-Administrativo nº 1 ,Rúa Capitán Juan Varela  s/n ,15007 ,Coruña (A) ,A Coruña ,Galicia ,981 18 52 99 ,981 18 52 98 ,contencioso1.coruna@xustiza.gal ,SANCHEZ SANCHEZ  ANA
Juzgado de lo Contencioso-Administrativo nº 2 ,Rúa Capitán Juan Varela  s/n ,15007 ,Coruña (A) ,A Coruña ,Galicia ,981 18 22 09  981 18 22 08 ,981 18 22 00 ,contencioso2.coruna@xustiza.gal ,GARCIA LLOVET  ENRIQUE
Juzgado de lo Contencioso-Administrativo nº 3 ,Rúa Capitán Juan Varela  s/n ,15007 ,Coruña (A) ,A Coruña ,Galicia ,981 18 21 60  981 18 21 67 ,981 18 21 70 ,contencioso3.coruna@xustiza.gal ,PEDREIRA GARCIA  MARIA
Juzgado de lo Contencioso-Administrativo nº 4 ,Rúa Capitán Juan Varela  s/n ,15007 ,Coruña (A) ,A Coruña ,Galicia ,981 18 21 54  981 18 21 58 ,981 18 21 62 ,contencioso4.coruna@xustiza.gal ,AGRASSO BARBEITO  ROSA MARIA ISABEL
Juzgado de lo Mercantil nº 1 ,Rúa Capitán Juan Varela  s/n ,15007 ,Coruña (A) ,A Coruña ,Galicia ,981 18 21 66  881 88 11 35 ,981 18 21 34 ,mercantil1.coruna@xustiza.gal ,FACHAL NOGUER  NURIA
Juzgado de lo Mercantil nº 2 ,Rúa Capitán Juan Varela  s/n ,15007 ,Coruña (A) ,A Coruña ,Galicia ,881 88 11 50  881 88 11 51 ,881 88 11 52 ,mercantil2.coruna@xustiza.gal ,MARTINEZ BOUZAS  MARIA SALOME
Juzgado de lo Mercantil nº 3 ,Rúa Capitán Juan Varela  s/n ,15007 ,Coruña (A) ,A Coruña ,Galicia ,881 88 19 90  881 88 19 91 ,Rúa Capitán Juan Varela  s/n ,mercantil3.coruna@xustiza.gal ,CASTRO PEREZ  MARIA DEL CARMEN
Juzgado de Violencia sobre la Mujer nº 1 ,Rúa Monforte  1. Edif. Novos Xulgados ,15007 ,Coruña (A) ,A Coruña ,Galicia ,881 88 11 12  881 88 11 13 ,881 88 11 11 ,violencia1.coruna@xustiza.gal ,BARBA ALVEDRO  ROBERTO
Juzgado de lo Penal nº 1 ,Rúa Monforte  1. Edif. Novos Xulgados ,15007 ,Coruña (A) ,A Coruña ,Galicia ,981 18 51 48  981 18 51 58 ,981 18 51 68 ,penal1.coruna@xustiza.gal ,CLEMENTE LAZARO  FRANCISCO JAVIER
Juzgado de lo Penal nº 2 ,Rúa Monforte  1. Edif. Novos Xulgados ,15007 ,Coruña (A) ,A Coruña ,Galicia ,981 18 51 78  981 18 51 88 ,981 18 51 98 ,penal2.coruna@xustiza.gal ,VAZQUEZ TAIN  JOSE ANTONIO
Juzgado de lo Penal nº 3 ,Rúa Monforte  1. Edif. Novos Xulgados ,15007 ,Coruña (A) ,A Coruña ,Galicia ,981 18 52 08  981 18 52 18 ,981 18 52 28 ,penal3.coruna@xustiza.gal ,SUAREZ-MIRA RODRIGUEZ  CARLOS MANUEL
Juzgado de lo Penal nº 4 ,Rúa Monforte  1. Edif. Novos Xulgados ,15007 ,Coruña (A) ,A Coruña ,Galicia ,981 18 22 17  981 18 21 33 ,981 18 21 41 ,penal4.coruna@xustiza.gal ,COUSO RANCAÑO  MARIA JIMENA
Juzgado de lo Penal nº 5 ,Rúa Monforte  1. Edif. Novos Xulgados ,15007 ,Coruña (A) ,A Coruña ,Galicia ,981 18 51 75  981 18 51 77 ,981 18 51 76 ,penal5.coruna@xustiza.gal ,FERRO CRUZ  SUSANA
Juzgado de lo Penal nº 6 ,Rúa Monforte  1. Edif. Novos Xulgados ,15007 ,Coruña (A) ,A Coruña ,Galicia ,981 18 25 92  981 18 25 93 ,981 18 25 94 ,penal6.coruna@xustiza.gal ,RUANO HERNANDEZ  FRANCISCO JOSE
Juzgado de Vigilancia Penitenciaria nº 1 ,Rúa Monforte  1. Edif. Novos Xulgados ,15007 ,Coruña (A) ,A Coruña ,Galicia ,981 18 51 09  981 18 52 02 ,981 18 52 01 ,vixilancia1.coruna@xustiza.gal ,SAN CLAUDIO PIÑON  JAVIER
Juzgado de Menores nº 1 ,Rúa Monforte  1. Edif. Novos Xulgados ,15007 ,Coruña (A) ,A Coruña ,Galicia ,981 18 51 19  981 18 51 29 ,981 18 52 92 ,menores1.coruna@xustiza.gal ,BARCIA CASANOVA  ANA MARIA
Registro Civil Único ,Rúa Monforte  1. Edif. Novos Xulgados ,15007 ,Coruña (A) ,A Coruña ,Galicia ,981 18 52 80 ,981 18 51 49 ,registrocivil.acoruna@justicia.esjusticia.es , 
Juzgado de Primera Instancia nº 1 ,Rúa da Coruña  55 ,15401 ,Ferrol ,A Coruña ,Galicia ,981 33 72 53  981 33 72 55 ,981 33 72 56 ,instancia1.ferrol@xustiza.gal ,FORMOSO CASTRO  VANESSA MARIA
Juzgado de Primera Instancia nº 2 ,Rúa da Coruña  55 ,15401 ,Ferrol ,A Coruña ,Galicia ,981 33 72 59  981 33 72 60 ,981 33 72 62 ,instancia2.ferrol@xustiza.gal ,MENDEZ IBIAS  ELVIRA
Juzgado de Primera Instancia nº 3 ,Rúa da Coruña  55 ,15401 ,Ferrol ,A Coruña ,Galicia ,981 33 72 65  981 33 72 66 ,981 33 72 68 ,instancia3.ferrol@xustiza.gal ,RIOBO FERNANDEZ  JUAN FRANCISCO
Juzgado de Primera Instancia nº 4 ,Rúa da Coruña  55 ,15401 ,Ferrol ,A Coruña ,Galicia ,981 33 72 71  981 33 72 72 ,981 33 72 74 ,instancia4.ferrol@xustiza.gal ,FERNANDEZ-PORTO VAZQUEZ  ANA
Juzgado de Primera Instancia nº 5 ,Rúa da Coruña  55 ,15401 ,Ferrol ,A Coruña ,Galicia ,981 33 75 03  981 33 75 04 ,981 33 75 05 ,instancia5.ferrol@xustiza.gal ,VIDAL GALLEGO  BERTA
Juzgado de Primera Instancia nº 6 ,Rúa da Coruña  55 ,15401 ,Ferrol ,A Coruña ,Galicia ,981 33 75 28 ,981 33 75 29 ,instancia6.ferrol@xustiza.gal ,FERNANDEZ VAZQUEZ  ALFREDO
Juzgado de Instrucción nº 1 ,Rúa da Coruña  55 ,15401 ,Ferrol ,A Coruña ,Galicia ,981 33 72 77  981 33 72 78 ,981 33 72 80 ,instrucion1.ferrol@xustiza.gal ,GONZALEZ LORENZO  ANA
Juzgado de Instrucción nº 2 ,Rúa da Coruña  55 ,15401 ,Ferrol ,A Coruña ,Galicia ,981 33 73 90  981 33 73 89 ,981 33 73 92 ,instrucion2.ferrol@xustiza.gal , 
Juzgado de Instrucción nº 3 ,Rúa da Coruña  55 ,15401 ,Ferrol ,A Coruña ,Galicia ,981 33 73 31  981 33 73 34 ,981 33 73 30 ,instrucion3.ferrol@xustiza.gal ,ROURA DOVAL  IRENE
Juzgado de lo Social nº 1 ,Rúa da Coruña  55 ,15401 ,Ferrol ,A Coruña ,Galicia ,981 33 73 77  981 33 73 78 ,981 33 73 80 ,social1.ferrol@xustiza.gal , 
Juzgado de lo Social nº 2 ,Rúa da Coruña  55 ,15401 ,Ferrol ,A Coruña ,Galicia ,981 33 73 71  981 33 73 72 ,981 33 73 74 ,social2.ferrol@xustiza.gal ,SANS BESADA  GONZALO
Juzgado de lo Contencioso-Administrativo nº 1 ,Rúa da Coruña  55 ,15401 ,Ferrol ,A Coruña ,Galicia ,981 33 73 65  981 33 73 66 ,981 33 73 68 ,contencioso1.ferrol@xustiza.gal ,TABOADA MARTINEZ  MARIA DE LUNA
Juzgado de lo Penal nº 1 ,Rúa da Coruña  55 ,15401 ,Ferrol ,A Coruña ,Galicia ,981 33 73 83  981 33 73 84 ,981 33 73 86 ,penal1.ferrol@xustiza.gal ,CANEIRO HERMIDA  MARIA ALMUDENA
Juzgado de lo Penal nº 2 ,Rúa da Coruña  55 ,15401 ,Ferrol ,A Coruña ,Galicia ,981 33 72 48  981 33 72 49 ,981 33 72 47 ,penal2.ferrol@xustiza.gal ,HERNANDEZ GARCIA  JORGE
Juzgado de Primera Instancia e Instrucción Único ,Rúa Curro da Praza  1 ,15250 ,Muros ,A Coruña ,Galicia ,981 82 60 24 ,981 82 60 73 ,mixto1.muros@xustiza.gal ,EL-YOUSSEF LIMA  MAY
Juzgado de Primera Instancia e Instrucción nº 1 ,Rúa Afonso Eanes ,15830 ,Negreira ,A Coruña ,Galicia ,881 99 60 32  881 99 60 33 ,881 99 60 41 ,mixto1.negreira@xustiza.gal ,MARTIN SANCHEZ  JORGE
Juzgado de Primera Instancia e Instrucción nº 1 ,Praza da Constitución  s/n ,15200 ,Noia ,A Coruña ,Galicia ,881 99 75 06  881 99 75 03 ,881 99 75 07 ,mixto1.noia@xustiza.gal ,TALLON GARCIA  LORENA
Juzgado de Primera Instancia e Instrucción nº 2 ,Praza da Constitución  s/n ,15200 ,Noia ,A Coruña ,Galicia ,881 99 75 12 ,881 99 75 14 ,mixto2.noia@xustiza.gal ,GONZALEZ URIEL  DANIEL
Juzgado de Primera Instancia e Instrucción nº 1 ,Rúa do Muiño  s/n ,15680 ,Ordes ,A Coruña ,Galicia ,881 88 12 82  881 88 12 84 ,881 88 12 86 ,mixto1.ordes@xustiza.gal ,CERREDA FERNANDEZ  LUCIA
Juzgado de Primera Instancia e Instrucción nº 2 ,Rúa do Muiño  s/n ,15680 ,Ordes ,A Coruña ,Galicia ,881 88 12 89  881 88 12 91 ,881 88 12 93 ,mixto2.ordes@xustiza.gal ,POSE AMADO  MARIA DEL CARMEN
Juzgado de Primera Instancia e Instrucción Único ,Avda. Estrada Xeral  s/n ,15330 ,Ortigueira ,A Coruña ,Galicia ,981 33 75 42  981 33 75 44 ,981 33 75 48 ,mixto1.ortigueira@xustiza.gal ,VALES LAGUNA  DIANA MARIA
Juzgado de Primera Instancia e Instrucción nº 1 ,Rúa Tetuán  s/n ,15900 ,Padrón ,A Coruña ,Galicia ,881 99 75 32  881 99 75 33 ,881 99 75 36 ,mixto1.padron@xustiza.gal ,FERNANDEZ CARBALLO  LAURA
Juzgado de Primera Instancia e Instrucción nº 2 ,Rúa Tetuán  s/n ,15900 ,Padrón ,A Coruña ,Galicia ,881 99 75 39  881 99 75 40 ,881 99 75 43 ,mixto2.padron@xustiza.gal ,DIAZ CES  MARIA ESTHER
Juzgado de Primera Instancia e Instrucción nº 1 ,Rúa Mariño de Rivera  s/n ,15960 ,Ribeira ,A Coruña ,Galicia ,881 99 73 42  881 99 73 44 ,881 99 73 48 ,mixto1.ribeira@xustiza.gal ,ZARZALEJOS HERRERO  ALFONSO
Juzgado de Primera Instancia e Instrucción nº 2 ,Rúa Mariño de Rivera  s/n ,15960 ,Ribeira ,A Coruña ,Galicia ,881 99 73 51  881 99 73 51 ,881 99 73 55 ,mixto2.ribeira@xustiza.gal ,RODRIGUEZ VAZQUEZ  BEATRIZ
Juzgado de Primera Instancia e Instrucción nº 3 ,Rúa Mariño de Rivera  s/n ,15960 ,Ribeira ,A Coruña ,Galicia ,881 99 73 60  881 99 73 51 ,881 99 73 62 ,mixto3.ribeira@xustiza.gal ,FERNANDEZ ALVAREZ  VANESA
Audiencia Provincial Civil-penal nº 6 ,Rúa Viena  s/n. Pol. Fontiñas ,15707 ,Santiago de Compostela ,A Coruña ,Galicia ,981 54 04 70  981 54 04 71 ,981 54 04 73 ,seccion6.ap.coruna@xustiza.gal ,CANALES GANTES  MARTA
Juzgado de Primera Instancia nº 1 ,Rúa Viena  s/n. Pol. Fontiñas ,15707 ,Santiago de Compostela ,A Coruña ,Galicia ,981 54 03 91  981 54 03 89 ,981 54 03 92 ,instancia1.santiago@xustiza.gal ,FILGUEIRA PAZ  MARIA PAZ
Juzgado de Primera Instancia nº 2 ,Rúa Viena  s/n. Pol. Fontiñas ,15707 ,Santiago de Compostela ,A Coruña ,Galicia ,981 54 04 21  981 54 04 19 ,981 54 04 22 ,instancia2.santiago@xustiza.gal ,SANCHEZ CARBAJALES  MARIA JESUS
Juzgado de Primera Instancia nº 3 ,Rúa Viena  s/n. Pol. Fontiñas ,15707 ,Santiago de Compostela ,A Coruña ,Galicia ,981 54 04 03  981 54 04 01 ,981 54 04 04 ,instancia3.santiago@xustiza.gal ,FERNANDEZ REY  RAQUEL
Juzgado de Primera Instancia nº 4 ,Rúa Viena  s/n. Pol. Fontiñas ,15707 ,Santiago de Compostela ,A Coruña ,Galicia ,981 54 04 07  981 54 04 08 ,981 54 04 10 ,instancia4.santiago@xustiza.gal ,LOPEZ OTERO  ANA BELEN
Juzgado de Primera Instancia nº 5 ,Rúa Viena  s/n. Pol. Fontiñas ,15707 ,Santiago de Compostela ,A Coruña ,Galicia ,981 54 04 15  981 54 04 13 ,981 54 04 16 ,instancia5.santiago@xustiza.gal ,LAGO LOURO  ANDRES
Juzgado de Primera Instancia nº 6 ,Rúa Viena  s/n. Pol. Fontiñas ,15707 ,Santiago de Compostela ,A Coruña ,Galicia ,881 99 71 14  881 99 71 15 ,881 99 71 16 ,instancia6.santiago@xustiza.gal ,SOTO SOLA  ROBERTO JOSE
Juzgado de Instrucción nº 1 ,Rúa Viena  s/n. Pol. Fontiñas ,15707 ,Santiago de Compostela ,A Coruña ,Galicia ,981 54 04 27  981 54 04 25 ,981 54 04 28 ,instrucion1.santiago@xustiza.gal ,LOPEZ-SUEVOS FRAGUELA  ANA
Juzgado de Instrucción nº 2 ,Rúa Viena  s/n. Pol. Fontiñas ,15707 ,Santiago de Compostela ,A Coruña ,Galicia ,981 54 03 97  981 54 03 95 ,981 54 03 98 ,instrucion2.santiago@xustiza.gal ,GUILLEN VAZQUEZ  MARGARITA
